年分,標號,月標號,月份,2015,2014,企業完整名稱,統一編號,產業類別,所有權,股票代碼,所屬國家,地區,地址,聯絡信箱,聯絡電話,CSR網址,CSR報告網址,CSR社群媒體,報告書名稱,報告書類別,負責單位,出版次數,頁數,資訊揭露期間,上一次報告的出版年份?yyyy?,"報告週期?1, 2, 3, 4, 5?",報告框架,GRI行業補充指南,驗證單位,依循選項,保證標準,保證等級,"是否有指標對照表?0, 1, NA?",國家數量?#?,據點數量?#?, 男性總人數?#? , 女性總人數?#? ,工會,基金會,基金會_1,強制,編製狀態,食品相關產業
2016,11,11,9,1,0,勝一化工股份有限公司,75970680,化學工業,上市,1773,台灣,高雄,高雄市永安區永工一路5號,csr@shinychem.com.tw,07-861-9171,http://www.shinychem.com.tw/money7B.html,http://www.shinychem.com.tw/money7B.html,0,勝一化工2015年企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,66,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,2,4,206,53,0,0,0,傳產,強制,0
2016,12,12,9,1,0,福壽實業股份有限公司,56192402,食品工業,上市,1219,台灣,台中,台中市沙鹿區沙田路45號,csr@fwusow.com.tw,04-2636-2111 #389,http://csr.fwusow.com.tw/,http://csr.fwusow.com.tw/index.php/csr,0,2015年企業社會責任報告書,企業社會責任報告,未註明負責單位,2,97,2015.01~2015.12,2015,1,GRI G4,食品加工,SGS & 其他會計師事務所,Core(核心）,AA1000 & ISAE 3000,AA 1000第1類型 中度保證等級／有限確信,1,1,17,478,151,1,1,福壽社會福利基金會,食品,強制,1
2016,13,13,9,1,0,和桐化學股份有限公司,12526607,化學工業,上市,1714,台灣,新北,新北市五股區中興路一段六號八樓,emma@htgroup.com.tw,02-8976-9268,http://www.htgroup.com.tw/service/index.php?parent_id=74,http://www.htgroup.com.tw/service/index.php?parent_id=74,0,2015和桐化學企業社會責任報告書,企業社會責任報告,行政管理/公共事務,2,64,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,2,10,61,27,0,0,0,傳產,強制,0
2016,14,14,9,1,0,國喬石油化學股份有限公司,4212250,塑膠工業,上市,1312,台灣,高雄,高雄市大社區興工路 4 樓,csr@gppc.com.tw,07-3513911 轉 289,http://www.gppc.com.tw/gppc/Responsibility.asp,http://www.gppc.com.tw/gppc/Responsibility.asp#,0,國喬石化 2015 年度企業社會責任報告書,企業社會責任報告,其他單位,2,75,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,3,332,31,1,0,0,傳產,強制,0
2016,15,15,9,1,0,元禎企業股份有限公司,12132033,化學工業,上市,1725,台灣,台北,台北市民生東路四段五十四號三樓之三,042@yuanjen.com.tw,02-2717-2222 ext 3191 ,http://www.yuanjen.com/06.php?idno=32,http://www.yuanjen.com/06.php?idno=33,0,元禎企業股份有限公司 2015年企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,66,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,2,5,79,36,0,0,0,傳產,強制,0
2016,16,16,9,1,0,臺南紡織股份有限公司,68919301,紡織纖維,上市,1440,台灣,台南,臺南市東區裕農路511號,CSR@tainanspin.com.tw ,06-237-6161#171,http://www.tainanspin.com.tw/index.php?temp=csr&lang=cht,http://www.tainanspin.com.tw/index.php?temp=csr&lang=cht,0,2015企業社會責任報告書,企業社會責任報告,其他單位,2,85,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,2,9,"1,103",785,1,1,0,傳產,強制,0
2016,17,17,9,1,1,台灣大哥大股份有限公司,97176270,通信網路業,上市,3045,台灣,台北,台北市信義區菸廠路88號12樓,spokesman2@taiwanmobile.com,＋886 2 66386888 #16949,http://corp.taiwanmobile.com/social-responsibility/ourVision.html,http://corp.taiwanmobile.com/social-responsibility/csr-report.html,0,台灣大哥大企業社會責任報告,企業社會責任報告,企業社會責任單位,8,167,2015.01~2015.12,2015,1,GRI G4+IR,無使用補充指南,KPMG,Comprehensive（全面）,ISAE 3000,有限確信 Limited,1,1,850,"2,825","2,671",0,1,0,服務,自願,0
2016,18,18,9,1,0,正隆股份有限公司,33085508,造紙工業,上市,1904,台灣,新北,新北市板橋區民生路一段一號,CSR@mail.clc.com.tw,222225131,http://www.clc.com.tw/htmltest/community/community.asp,http://www.clc.com.tw/htmltest/community/community.asp,0,企業社會責任報告書,企業社會責任報告,企業社會責任單位,4,37,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,3,31,"2,847",383,1,1,0,傳產,自願,0
2016,19,19,9,0,0,信大水泥股份有限公司,3279507,水泥工業,上市,1109,台灣,台北,台北市寶慶路37號7樓,N/A,N/A,http://www.hsingta.com.tw/SupportDetail.asp?lv=-1&id=3,http://www.hsingta.com.tw/SupportDetail.asp?lv=-1&id=7,0,企業社會責任報告書,企業社會責任報告,未註明負責單位,1,53,2015.01~2015.12,第一次出版,1,GRI,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,0,2,5,,,1,1,0,0,自願,0
2016,20,20,9,1,0,五鼎生物技術股份有限公司,22378963,生技醫療,上市,1733,台灣,新竹,新竹科學工業園區新竹巿力行五路七號,ychuang@apexbio.com,03-564-1952 #117,http://www.apexbio.com/Manager/img/CSR/60-2016004.pdf,http://www.apexbio.com/Web/CSR/csr_report.php,0,企業社會責任報告書,企業社會責任報告,環境安全衛生/ 能源環境,2,52,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,2,3,174,492,0,0,0,0,自願,0
2016,21,21,9,1,1,東元電機股份有限公司,11332202,電機機械,上市,1504,台灣,台北,台北市南港區三重路19-9號5樓, ir@teco.com.tw,02-655-3333,http://tecocsr.teco.com.tw/,http://tecocsr.teco.com.tw/download.php?gid=1,https://www.facebook.com/tecohome,2015東元電機企業社會責任報告書,企業社會責任報告,企業社會責任委員會,9,102,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,PricewaterhouseCoopers,Core(核心）,ISAE 3000,有限確信 Limited,1,3,N/A,"2,354",988,1,1,0,傳產,自願,0
2016,22,22,9,1,0,中化合成生技股份有限公司,3088704,生技醫療,上市,1762,台灣,新北,新北市樹林區東興街一號,ericklee@ccsb.com.tw,8684-3318,http://www.ccsb.com.tw/chinese/11_stakeholder/00_overview.aspx,http://www.ccsb.com.tw/chinese/10_csr/02_report.aspx,0,2015年企業社會責任報告書,企業社會責任報告,企業社會責任單位,3,52,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,N/A,5,194,71,0,0,0,0,自願,0
2016,23,23,9,1,0,東鹼股份有限公司,11384405,化學工業,上市,1708,台灣,台北,台北市敦化南路2段99號23樓,taipei@sesoda.com.tw,02-2704-7272,http://www.sesoda.com.tw/chinese/csr.html,http://www.sesoda.com.tw/chinese/csr.html,0,2015企業永續與社會責任報告書,企業永續與社會責任報告,企業社會責任委員會,2,108,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,自我宣告AA1000,無保證等級,1,1,4,107,23,1,0,0,傳產,強制,0
2016,24,24,9,1,0,毛寶股份有限公司,34245356,化學工業,上市,1732,台灣,新竹,新竹縣湖口縣勝利村實踐路19號 ,tia@maobao.com.tw,-10369,http://www.maobao.com.tw/in_04.php,http://www.maobao.com.tw/in_04.php,0,2015企業社會責任報告,企業社會責任報告,企業社會責任委員會,2,68,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,4,83,89,0,0,0,傳產,強制,0
2016,25,25,9,1,0,興農股份有限公司,51911712,化學工業,上市,1712,台灣,台中,臺中市大肚區南榮路101號1樓, stock@sinon.com.tw,02-27023999,http://www.sinon.com.tw/csr-maN/Ager.asp,http://www.sinon.com.tw/report/2015CSR.pdf,0,2015年企業社會責任報告書,企業社會責任報告,企業社會責任單位,2,85,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,9,12,807,539,0,0,0,傳產,強制,0
2016,26,26,9,1,0,臺灣中小企業銀行股份有限公司,3793407,金融業,上市,2834,台灣,台北,台北市大同區塔城街30號,h07@mail.tbb.com.tw,-25596287,http://www.tbb.com.tw/,https://www.tbb.com.tw/tbb_admin/leap_do/gallery/1467251852309_1470e.pdf,https://www.tbb.com.tw/5_6_2.html?,2015企業社會責任報告書,企業社會責任報告,其他單位,4,80,2015.01~2015.12,2014,1,GRI G4,金融財務,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,5,132,"2,251","2,632",1,0,0,金融,自願,0
2016,27,27,9,1,0,遠東新世紀股份有限公司,3522600,紡織纖維,上市,1402,台灣,台北,台北市大安區敦化南路二段207號36樓,csr@fenc.com,02-2733-8000 #8417/8419,http://csr.fenc.com/index.aspx?lang=zh,http://csr.fenc.com/report.aspx?lang=zh,0,"創.新世紀 
2015遠東新世紀企業社會責任報告書",企業社會責任報告,高層辦公室（董事長室、總經理室...）,3,120,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,SGS,Comprehensive（全面）,AA1000,AA 1000第1類型 中度保證等級,1,5,26,"7,922","5,281",1,1,0,傳產,自願,0
2016,28,28,9,1,0,日勝化工股份有限公司,23263551,化學工業,上市,1735,台灣,南投,南投市南崗工業區工業南二路七號,csr@twemc.com.tw,049-225-5357,http://www.twemc.com/aboutemc/csr.html,http://www.twemc.com/content-aboutemc9/content-aboutemc9-2.html,0,日勝化工股份有限公司2015 年企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,62,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,1,1,,,0,0,0,傳產,強制,0
2016,29,29,9,1,0,安泰商業銀行股份有限公司,86928561,金融業,上市,2849,台灣,台北,臺北市信義區信義路五段7號40樓,N/A,02-8101-2277,N/A,http://www.entiebank.com.tw/public/csr_report.asp,0,企業社會責任報告書,企業社會責任報告,企劃/市場行銷,2,82,2015.01~2015.12,2015,1,GRI G4,金融財務,無驗證單位,無應用等級,無保證標準,無保證等級,1,1,54,"1,027",794,1,0,0,金融,強制,0
2016,30,30,9,1,0,花仙子企業股份有限公司,7708830,化學工業,上市,1730,台灣,台北,臺北市大同區承德路三段230號13樓,honweilin@farcent.com.tw,02-2592-2860,http://www.farcent.com.tw/tw/responsibility.php,http://www.farcent.com.tw/tw/responsibility.php,0,企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,78,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,4,2,63,119,0,1,0,傳產,強制,0
2016,31,31,9,1,0,台硝股份有限公司,38033305,化學工業,上市,1724,台灣,桃園,桃園市桃園區中正路1071號19樓之1,csr@tnc.com.tw,03-3566289,http://www.tnc.com.tw/zh-tw/Html/Chairman,http://www.tnc.com.tw/zh-tw/Report/ReportDownload,0,台硝股份有限公司企業社會責任報告書,企業社會責任報告,企業社會責任單位,2,83,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,2,195,34,0,0,0,傳產,強制,0
2016,32,32,9,1,0,高雄銀行股份有限公司,79854797,金融業,上市,2836,台灣,高雄,高雄市左營區博愛二路168號,csr@mail.bok.com.tw,07-5570535,https://www.bok.com.tw/social-conscience,https://www.bok.com.tw/social-conscience,0,2015企業社會責任報告書,企業社會責任報告,行政管理/公共事務,2,66,2015.01~2015.12,2015,1,GRI G4,金融財務,無驗證單位,無應用等級,無保證標準,無保證等級,1,1,36,484,449,1,1,0,金融,強制,0
2016,33,33,9,1,0,中國化學製藥股份有限公司,3088802,生技醫療,上市,1701,台灣,台北,台北市中正區襄陽路二十三號,info@ccpc.com.tw,02-23124200,http://www.ccpg.com.tw/chinese/03_social/00_overview.aspx,http://www.ccpg.com.tw/chinese/03_social/01_detail.aspx?MID=7,0,2015年企業社會責任報告書,企業社會責任報告,未註明負責單位,3,84,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,8,276,415,1,1,財團法人王民寧先生紀念基金會,0,自願,0
2016,34,34,9,1,0,永記造漆工業股份有限公司,75137605,化學工業,上市,1726,台灣,高雄,高雄市小港區沿海三路26號,ycpfin@mail.rainbowpaint.com.tw,07-8713181,http://www.rainbowpaint.com.tw,http://mops.twse.com.tw/mops/web/t100sb11,0,企業社會責任報告書,企業社會責任報告,行政管理/公共事務,2,96,2015.01~2015.12,第一次出版,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,5,10,502,138,0,0,0,傳產,強制,0
2016,35,35,9,1,0,亞洲水泥股份有限公司,3244509,水泥工業,上市,1102,台灣,台北,台北市大安區敦化南路2段207號30、31樓,csr@acc.com.tw,02-2737-8940,http://www.acc.com.tw/csr/spotlight,http://www.acc.com.tw/csr/csr-report,http://acchl.pixnet.net/blog,2015年亞洲水泥企業社會責任報告書,企業社會責任報告,永續發展委員會,3,107,2015.01~2015.12,2015,1,GRI G4,採礦與金屬,SGS,Comprehensive（全面）,AA1000,AA 1000第1類型 中度保證等級,1,9,5,"1,834",203,1,1,"徐元智先生紀念基金會
徐元智先生醫藥基金
會
徐有庠先生紀念基金會",傳產,自願,0
2016,36,36,9,1,0,英瑞國際股份有限公司,41134952,電機機械,上市,1592,KY 開曼群島,台南,台南市安平區慶平路573號10樓,CSR@enterex.com,N/A,http://www.enterex.com.tw/tw/trust.php,http://www.enterex.com.tw/tw/trust3.php,0,2015企業社會責任報告書,企業社會責任報告,企業社會責任單位,2,62,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,7,10,,,1,0,0,0,自願,0
2016,37,37,9,1,0,中華票券金融股份有限公司,12198359,金融業,上市,2820,台灣,台北,台北市內湖區堤頂大道二段99號4樓,daphne@cbf.com.tw,(02)2799-1177,http://www.cbf.com.tw/np.asp?ctNode=604&mp=1,http://www.cbf.com.tw/lp.asp?ctNode=608&CtUnit=244&BaseDSD=7&mp=1,0,2016中華票券企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,86,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,6,97,47,0,0,0,金融,強制,0
2016,38,38,9,1,0,江申工業股份有限公司,35129100,電機機械,上市,1525,台灣,桃園,桃園市楊梅區新江路100號,N/A,03-2724688,http://www.kian-shen.com/newsshow.asp?id=237,http://www.kian-shen.com/newsshow.asp?id=237,0,江申工業2015企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,74,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,1,N/A,N/A,241,53,0,0,0,0,自願,0
2016,39,39,9,1,1,中鋼碳素化學股份有限公司,23221384,化學工業,上市,1723,台灣,高雄,高雄市前鎮區成功二路88號25樓,N/A,07-803-0619 #7100 ,http://www.cscc.com.tw/csr.htm,http://www.cscc.com.tw/csr.htm,0,中鋼碳素化學股份有限公司2015年企業社會責任報告書,企業社會責任報告,環境安全衛生/ 能源環境,5,76,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,2,177,28,1,1,中鋼集團教育基金會,傳產,自願,0
2016,40,40,9,1,0,台灣化學纖維股份有限公司,58650902,塑膠工業,上市,1326,台灣,彰化,彰化市中山路3段359號,N000013268@Fcfc.com.tw,886-2-27122211#5409,http://www.fcfc.com.tw/PRE/TW/fcfchome.asp?div=6,http://www.fcfc.com.tw/PRE/TW/fcfchome.asp?div=6,0,台灣化學纖維股份有限公司社會責任報告書,社會責任報告,企業社會責任單位,2,86,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,3,27,764,"4,785",1,0,0,傳產,強制,0
2016,41,42,9,1,0,福懋興業股份有限公司,14001199,紡織纖維,上市,1434,台灣,雲林,雲林縣斗六市榴中里石榴路317號,u689892@ftc.com.tw,05-557-7013,http://www.ftc.com.tw/defaultc.htm,http://www.ftc.com.tw/defaultc.htm,0,企業社會責任報告書,企業社會責任報告,企業社會責任委員會,4,133,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,SGS,無應用等級,AA1000,AA 1000第1類型 中度保證等級,1,10,10,"2,613","1,413",0,0,0,傳產,自願,0
2016,42,43,9,1,0,國泰化工廠股份有限公司,3375001,化學工業,上市,1713,台灣,台北,台北市忠孝東路四段320號12樓,cc511211@ms22.hinet.net,02-2781-1161,http://www.ccwi.com.tw/default.htm,http://www.ccwi.com.tw/social.htm,0,2015年國泰化工廠股份有限公司企業社會責任報告書,企業社會責任報告,其他單位,2,78,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,Ernst & Young,Core(核心）,ISAE 3000,有限確信 Limited,1,1,2,61,11,0,0,0,傳產,強制,0
2016,43,44,9,1,0,聯發科技股份有限公司,84149961,半導體,上市,2454,台灣,新竹,新竹科學工業園區新竹市篤行一路1號,csr@mediatek.com,886-3-5670766,http://52.221.236.71/%E4%BC%81%E6%A5%AD%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB,http://s3-ap-southeast-1.amazonaws.com/mediatek-craft/page/%E8%81%AF%E7%99%BC%E7%A7%91%E6%8A%802015%E5%B9%B4%E4%BC%81%E6%A5%AD%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB%E5%A0%B1%E5%91%8A%E6%9B%B8.pdf,0,聯發科技2015企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,116,2015.01~2015.12,2015,1,GRI G4,無使用補充指南,SGS,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,12,27,"8,841","2,062",0,1,0,科技,強制,0
2016,44,45,9,1,1,聚陽實業股份有限公司,23609668,紡織纖維,上市,1477,台灣,台北,台北市忠孝東路四段550號8樓,pr@makalot.com.tw,(02)-23455588,http://www.makalot.com.tw/responsibility_1.aspx,http://www.makalot.com.tw/file/final_2016CSR-2.pdf,0,民國104年度企業社會責任年報,企業社會責任報告,企業社會責任單位,5,35,N/A,2014,1,無框架,無使用補充指南,無驗證單位,無應用等級,無保證標準,無保證等級,0,5,N/A,204,526,0,1,財團法人聚陽人文發展教育基金會,0,自願,0
2016,45,46,9,1,0,臺灣永光化學工業股份有限公司,15458455,化學工業,上市,1711,台灣,台北,台北市大安區敦化南路二段 77 號 5~6 樓,csr@ecic.com.tw ,+886-2-2706-6006#133 ,http://www.ecic.com.tw/e_csr/csr.htm,http://www.ecic.com.tw/e_csr/csr_reports.htm,0,2015永光化學企業社會責任報告書,企業社會責任報告,企業社會責任單位,4,70,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,5,21,,,1,0,0,傳產,自願,0
2016,46,47,9,1,0,台中商業銀行股份有限公司,51816908,金融業,上市,2812,台灣,台中,臺中市西區民權路87號,planning@tcbbank.com.tw,(04)222-36021 #5321~5325,https://www.tcbbank.com.tw/CSR/pages/Report.html,https://www.tcbbank.com.tw/CSR/pages/Report.html,0,台中銀行2015企業社會責任報告書,企業社會責任報告,企劃/市場行銷,2,74,2015.01~2015.12,2015,1,GRI G4,金融財務,BSI,Core(核心）,AA1000,AA 1000第1類型 中度保證等級,1,1,80,"1,009","1,188",0,1,財團法人台中商業銀行文教基金會,金融,強制,0
2016,47,48,9,1,0,中華紙漿股份有限公司,94025264,造紙工業,上市,1905,台灣,台北,臺北市重慶南路二段51號12樓,csroffice.chp@yfy.com,02-23962998 ext. 1252,http://www.chp.com.tw/利害關係人專區/企業社會責任報告書.html,http://www.chp.com.tw/利害關係人專區/企業社會責任報告書_104年.pdf,0,中華紙漿股份有限公司企業社會責任報告書,企業社會責任報告,永續發展單位,2,92,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,無應用等級,自我宣告AA1000,無保證等級,1,1,5,"1,680",241,1,0,無基金會,傳產,強制,0
2016,48,49,9,1,0,和益化學工業股份有限公司,4312878,化學工業,上市,1709,台灣,台北,台北市104南京東路二段206號14樓,fucc@fucc.com.tw,02-2507-1234,http://www.fucc.com.tw/fucc/fucc_index_csr1.asp,http://www.fucc.com.tw/fucc/fucc_index_csr1.asp,0,企業社會責任報告書,企業社會責任報告,企業社會責任委員會,2,81,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,無驗證單位,Core(核心）,無保證標準,無保證等級,1,1,2,192,27,0,0,0,傳產,強制,0
2016,49,50,9,1,0,伸興工業股份有限公司,55754185,電機機械,上市,1558,台灣,台中,台中市太平區永成路78號,csr@zenghsing.com.tw,886-4-22785177#589,www.zenghsing.com.tw,http://www.zenghsing.com.tw/chinese/csr/down.php?hDFile=news01467617671.pdf,0,伸興工業企業社會責任報告,企業社會責任報告,企業社會責任單位,2,89,2015.01~2015.12,2014,1,GRI G4,無使用補充指南,Ernst & Young,Core(核心）,ISAE 3000,有限確信 Limited,1,3,5,914,"1,601",1,0,0,0,自願,0
