¦~¤À,¼Ð¸¹,¤ë¥÷,¤ÀªRªÌ,¥ø·~§¹¾ã¦WºÙ,²Î¤@½s¸¹,²£·~Ãþ§O,³ø§i®Ø¬[,¨Ì´`¿ï¶µ,©Ò¦³Åv,ªÑ²¼¥N½X,«ü¼Ð¹ï·Óªí,G4-1,G4-2,G4-3,G4-4,G4-5,G4-6,G4-7,G4-8,G4-9,G4-10,G4-11,G4-12,G4-13,G4-14,G4-15,G4-16,G4-17,G4-18,G4-19,G4-20,G4-21,G4-22,G4-23,G4-24,G4-25,G4-26,G4-27,G4-28,G4-29,G4-30,G4-31,G4-32,G4-33,G4-34,G4-35,G4-36,G4-37,G4-38,G4-39,G4-40,G4-41,G4-42,G4-43,G4-44,G4-45,G4-46,G4-47,G4-48,G4-49,G4-50,G4-51,G4-52,G4-53,G4-54,G4-55,G4-56,G4-57,G4-58,G4-EC1,G4-EC2,G4-EC3,G4-EC4,G4-EC5,G4-EC6,G4-EC7,G4-EC8,G4-EC9,G4-EN1,G4-EN2,G4-EN3,G4-EN4,G4-EN5,G4-EN6,G4-EN7,G4-EN8,G4-EN9,G4-EN10,G4-EN11,G4-EN12,G4-EN13,G4-EN14,G4-EN15,G4-EN16,G4-EN17,G4-EN18,G4-EN19,G4-EN20,G4-EN21,G4-EN22,G4-EN23,G4-EN24,G4-EN25,G4-EN26,G4-EN27,G4-EN28,G4-EN29,G4-EN30,G4-EN31,G4-EN32,G4-EN33,G4-EN34,G4-LA1,G4-LA2,G4-LA3,G4-LA4,G4-LA5,G4-LA6,G4-LA7,G4-LA8,G4-LA9,G4-LA10,G4-LA11,G4-LA12,G4-LA13,G4-LA14,G4-LA15,G4-LA16,G4-HR1,G4-HR2,G4-HR3,G4-HR4,G4-HR5,G4-HR6,G4-HR7,G4-HR8,G4-HR9,G4-HR10,G4-HR11,G4-HR12,G4-SO1,G4-SO2,G4-SO3,G4-SO4,G4-SO5,G4-SO6,G4-SO7,G4-SO8,G4-SO9,G4-SO10,G4-SO11,G4-PR1,G4-PR2,G4-PR3,G4-PR4,G4-PR5,G4-PR6,G4-PR7,G4-PR8,G4-PR9
2016,11,9,§õªl¼Ý,³Ó¤@¤Æ¤uªÑ¥÷¦³­­¤½¥q,75970680,¤Æ¾Ç¤u·~,GRI G4,Core(®Ö¤ß¡^,¤W¥«,1773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1
2016,12,9,¹ù¯\µa,ºÖ¹Ø¹ê·~ªÑ¥÷¦³­­¤½¥q,56192402,­¹«~¤u·~,GRI G4,Core(®Ö¤ß¡^,¤W¥«,1219,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1
2016,13,9,§õªl¼Ý,©M®ä¤Æ¾ÇªÑ¥÷¦³­­¤½¥q,12526607,¤Æ¾Ç¤u·~,GRI G4,Core(®Ö¤ß¡^,¤W¥«,1714,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
2016,14,9,®}¹t¬À,°ê³ì¥Ûªo¤Æ¾ÇªÑ¥÷¦³­­¤½¥q,4212250,¶ì½¦¤u·~,GRI G4,Core(®Ö¤ß¡^,¤W¥«,1312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1
2016,15,9,®}¹t¬À,¤¸ºÕ¥ø·~ªÑ¥÷¦³­­¤½¥q,12132033,¤Æ¾Ç¤u·~,GRI G4,Core(®Ö¤ß¡^,¤W¥«,1725,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1
2016,16,9,´¿²û¶®,¥x«n¯¼Â´ªÑ¥÷¦³­­¤½¥q,68919301,¯¼Â´ÅÖºû,GRI G4,Core(®Ö¤ß¡^,¤W¥«,1440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1
2016,17,9,§õªl¼Ý,¥xÆW¤j­ô¤jªÑ¥÷¦³­­¤½¥q,97176270,³q«Hºô¸ô·~,GRI G4+IR,Comprehensive¡]¥þ­±¡^,¤W¥«,3045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
2016,18,9,¤ý¥ß´@,¥¿¶©ªÑ¥÷¦³­­¤½¥q,33085508,³y¯È¤u·~,GRI G4,µLÀ³¥Îµ¥¯Å,¤W¥«,1904,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
2016,19,9,¤ý¥ß´@,«H¤j¤ôªdªÑ¥÷¦³­­¤½¥q,3279507,¤ôªd¤u·~,GRI,µLÀ³¥Îµ¥¯Å,¤W¥«,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,20,9,¤ý¥òÄQ,¤­¹©¥Íª«§Þ³NªÑ¥÷¦³­­¤½¥q,22378963,¥Í§ÞÂåÀø,GRI G4,µLÀ³¥Îµ¥¯Å,¤W¥«,1733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,21,9,³¯¦¼¼ä,ªF¤¸¹q¾÷ªÑ¥÷¦³­­¤½¥q,11332202,¹q¾÷¾÷±ñ,GRI G4,Core(®Ö¤ß¡^,¤W¥«,1504,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2016,22,9,³¯¦¼¼ä,¤¤¤Æ¦X¦¨¥Í§ÞªÑ¥÷¦³­­¤½¥q,3088704,¥Í§ÞÂåÀø,GRI G4,Core(®Ö¤ß¡^,¤W¥«,1762,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2016,23,9,¦¿¨Ø®e,ªFÆPªÑ¥÷¦³­­¤½¥q,11384405,¤Æ¾Ç¤u·~,GRI G4,Core(®Ö¤ß¡^,¤W¥«,1708,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2016,24,9,´¿²û¶®,¤òÄ_ªÑ¥÷¦³­­¤½¥q,34245356,¤Æ¾Ç¤u·~,GRI G4,Core(®Ö¤ß¡^,¤W¥«,1732,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
2016,25,9,¹ù´@³¸,¿³¹AªÑ¥÷¦³­­¤½¥q,51911712,¤Æ¾Ç¤u·~,GRI G4,µLÀ³¥Îµ¥¯Å,¤W¥«,1712,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1
2016,26,9,À¹§»¿o,»OÆW¤¤¤p¥ø·~»È¦æªÑ¥÷¦³­­¤½¥q,3793407,ª÷¿Ä·~,GRI G4,Core(®Ö¤ß¡^,¤W¥«,2834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
2016,27,9,¦¿¨Ø®e,»·ªF·s¥@¬öªÑ¥÷¦³­­¤½¥q,3522600,¯¼Â´ÅÖºû,GRI G4,Comprehensive¡]¥þ­±¡^,¤W¥«,1402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2016,28,9,¹ù´@³¸,¤é³Ó¤Æ¤uªÑ¥÷¦³­­¤½¥q,23263551,¤Æ¾Ç¤u·~,GRI G4,µLÀ³¥Îµ¥¯Å,¤W¥«,1735,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2016,29,9,¤ý¥òÄQ,¦w®õ°Ó·~»È¦æªÑ¥÷¦³­­¤½¥q,86928561,ª÷¿Ä·~,GRI G4,µLÀ³¥Îµ¥¯Å,¤W¥«,2849,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
